oid,test,train_fold1,val_fold1,train_fold2,val_fold2,train_fold3,val_fold3,train_fold4,val_fold4,train_fold5,val_fold5
ZTF18aahsvxa,0,0,1,1,0,1,0,1,0,1,0
ZTF18aahsxpj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aahvlhc,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaiijbb,0,1,0,1,0,1,0,0,1,1,0
ZTF18aailctq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aailtum,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaiualk,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaiubas,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaiujdm,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaiulxh,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaiurth,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaivcct,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaivnak,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaiwsua,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaiwzie,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaiyebq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaizfkm,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaizpod,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaiztdl,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaiztpr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aajapma,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajauyi,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajcsqi,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajdcfy,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajdpdf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajfezy,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajgiii,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajgkyt,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajhant,1,0,0,0,0,0,0,0,0,0,0
ZTF18aajhlxa,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajhzkn,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajifvt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajjoko,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajkaql,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajkevi,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajkxyt,0,1,0,0,1,1,0,1,0,1,0
ZTF18aajleme,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajlgoa,0,0,1,1,0,1,0,1,0,1,0
ZTF18aajlilg,0,1,0,1,0,1,0,1,0,0,1
ZTF18aajlorc,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajvqye,0,1,0,1,0,1,0,0,1,1,0
ZTF18aajyqbx,0,1,0,1,0,0,1,1,0,1,0
ZTF18aajzyfb,0,1,0,1,0,0,1,1,0,1,0
ZTF18aakdxos,0,1,0,1,0,1,0,0,1,1,0
ZTF18aakeayh,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakeoie,0,1,0,1,0,0,1,1,0,1,0
ZTF18aakipwm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aakitiq,0,0,1,1,0,1,0,1,0,1,0
ZTF18aakiwxp,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaklnny,0,1,0,1,0,1,0,0,1,1,0
ZTF18aakqshl,0,1,0,1,0,0,1,1,0,1,0
ZTF18aakyddg,0,1,0,1,0,1,0,1,0,0,1
ZTF18aakyear,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaltgfy,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaluzmq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaluzrx,1,0,0,0,0,0,0,0,0,0,0
ZTF18aalvakd,0,1,0,1,0,0,1,1,0,1,0
ZTF18aalvhsj,0,1,0,1,0,1,0,0,1,1,0
ZTF18aalxmdx,0,1,0,1,0,1,0,0,1,1,0
ZTF18aalxncv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamcwzy,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamfybf,0,1,0,0,1,1,0,1,0,1,0
ZTF18aamqzlv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamrbiv,1,0,0,0,0,0,0,0,0,0,0
ZTF18aamrgbq,0,0,1,1,0,1,0,1,0,1,0
ZTF18aamsmzm,0,1,0,1,0,1,0,1,0,0,1
ZTF18aamuarr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aamupuo,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamvanq,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamwhib,0,0,1,1,0,1,0,1,0,1,0
ZTF18aamwjan,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamxlmm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aamykhr,0,1,0,1,0,0,1,1,0,1,0
ZTF18aamykyz,0,1,0,1,0,1,0,0,1,1,0
ZTF18aamzcjo,0,1,0,0,1,1,0,1,0,1,0
ZTF18aamzved,0,0,1,1,0,1,0,1,0,1,0
ZTF18aanabqp,0,1,0,1,0,1,0,0,1,1,0
ZTF18aancege,0,1,0,1,0,1,0,0,1,1,0
ZTF18aanhsbt,0,1,0,1,0,0,1,1,0,1,0
ZTF18aanizbd,0,1,0,1,0,0,1,1,0,1,0
ZTF18aankjav,0,0,1,1,0,1,0,1,0,1,0
ZTF18aanlycz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aanmaam,0,1,0,0,1,1,0,1,0,1,0
ZTF18aanmpvk,0,1,0,1,0,1,0,0,1,1,0
ZTF18aanmuwn,0,0,1,1,0,1,0,1,0,1,0
ZTF18aanskfx,1,0,0,0,0,0,0,0,0,0,0
ZTF18aanxlcr,0,1,0,1,0,1,0,1,0,0,1
ZTF18aanyhfb,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaobcvl,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaodlik,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaogavr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaotzun,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaoucqf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaouksq,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaouqmw,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaowtgn,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaoytaz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aapatdu,0,1,0,1,0,0,1,1,0,1,0
ZTF18aapbhra,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqcdjz,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqcdms,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqcfzh,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaqclsd,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaqdwsw,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaqjqqc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqklis,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaqkrxj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaqktbt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqkvco,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaqkyas,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaqljfc,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaqlndu,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqpowv,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaqrcml,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaquvvq,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaquwqi,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaqwboe,0,0,1,1,0,1,0,1,0,1,0
ZTF18aararjr,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarbzgt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarbzgy,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarcpem,0,1,0,1,0,1,0,0,1,1,0
ZTF18aarcqdj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarfobn,1,0,0,0,0,0,0,0,0,0,0
ZTF18aariqrj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarkztv,0,1,0,1,0,1,0,0,1,1,0
ZTF18aarlhfw,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarlnzb,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarltsj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarmnnd,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarmttj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarnbhk,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarndye,0,0,1,1,0,1,0,1,0,1,0
ZTF18aarneoz,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarobdw,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarummj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarunfu,0,1,0,1,0,0,1,1,0,1,0
ZTF18aarusgg,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarvfan,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarvqai,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarvsqh,0,1,0,0,1,1,0,1,0,1,0
ZTF18aarwjli,1,0,0,0,0,0,0,0,0,0,0
ZTF18aarwmyr,0,1,0,1,0,1,0,1,0,0,1
ZTF18aarzbkh,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasaqao,0,1,0,1,0,1,0,1,0,0,1
ZTF18aasauch,0,1,0,1,0,1,0,1,0,0,1
ZTF18aaspvnw,0,1,0,0,1,1,0,1,0,1,0
ZTF18aasrovh,0,1,0,1,0,1,0,1,0,0,1
ZTF18aasvtqi,0,1,0,1,0,1,0,1,0,0,1
ZTF18aasvvct,0,1,0,1,0,1,0,0,1,1,0
ZTF18aasvydn,0,1,0,1,0,0,1,1,0,1,0
ZTF18aaswdzr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaswqcv,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaswrap,0,1,0,1,0,0,1,1,0,1,0
ZTF18aasyldf,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasyoet,0,1,0,1,0,1,0,1,0,0,1
ZTF18aasyrit,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasywuv,1,0,0,0,0,0,0,0,0,0,0
ZTF18aasyxcd,0,0,1,1,0,1,0,1,0,1,0
ZTF18aaszoxf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaszvbn,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaszxzj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatable,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatezfu,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatfxtd,1,0,0,0,0,0,0,0,0,0,0
ZTF18aathnkk,0,1,0,1,0,0,1,1,0,1,0
ZTF18aathose,0,1,0,1,0,1,0,1,0,0,1
ZTF18aathpjh,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatiffa,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatiudp,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatiyvg,0,1,0,1,0,1,0,1,0,0,1
ZTF18aatjwcm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatmoka,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatmvib,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatonqc,0,1,0,1,0,0,1,1,0,1,0
ZTF18aatoohj,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatpfus,0,1,0,1,0,1,0,1,0,0,1
ZTF18aatpqxq,0,0,1,1,0,1,0,1,0,1,0
ZTF18aatquwd,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatrzec,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatvjwr,0,1,0,1,0,1,0,0,1,1,0
ZTF18aatwqed,0,1,0,0,1,1,0,1,0,1,0
ZTF18aatwzfc,1,0,0,0,0,0,0,0,0,0,0
ZTF18aauotcv,0,1,0,0,1,1,0,1,0,1,0
ZTF18aaurykp,0,1,0,0,1,1,0,1,0,1,0
ZTF18aauuzmf,0,1,0,1,0,0,1,1,0,1,0
ZTF18aauxxea,0,1,0,1,0,1,0,0,1,1,0
ZTF18aauyafm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aauyxxt,0,1,0,1,0,0,1,1,0,1,0
ZTF18aauyyds,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauyyhe,0,0,1,1,0,1,0,1,0,1,0
ZTF18aauyzxg,0,1,0,1,0,1,0,1,0,0,1
ZTF18aauzolk,0,0,1,1,0,1,0,1,0,1,0
ZTF18aavabkh,0,0,1,1,0,1,0,1,0,1,0
ZTF18aavaxdv,0,1,0,1,0,1,0,1,0,0,1
ZTF18aavpets,0,1,0,1,0,0,1,1,0,1,0
ZTF18aavuvqs,0,1,0,1,0,1,0,0,1,1,0
ZTF18aavuzhe,0,1,0,1,0,1,0,1,0,0,1
ZTF18aavvtyx,0,1,0,0,1,1,0,1,0,1,0
ZTF18aavwuxk,0,1,0,1,0,0,1,1,0,1,0
ZTF18aavxdrz,0,1,0,1,0,1,0,1,0,0,1
ZTF18aavydnh,0,1,0,1,0,1,0,0,1,1,0
ZTF18aavygjv,0,1,0,1,0,0,1,1,0,1,0
ZTF18aavynfd,0,1,0,0,1,1,0,1,0,1,0
ZTF18aavyzyt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aavzawy,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawbhdn,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawcura,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawdqbc,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawehma,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawetwo,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawfcsu,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawfeyg,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawfezw,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawfqax,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawgiuu,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawglif,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawhgpt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawhrjb,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawhsgh,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawibig,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawjfam,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawjnky,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawkdyg,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawldxu,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawlfnj,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawmeiw,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawnaje,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawnawj,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawncdo,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawnlba,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawnnns,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawnvkm,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawnylr,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawokdx,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawourc,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawppyt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawpsnj,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawpzkf,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawqhda,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawqjjj,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawqnqp,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawqxce,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawqzwc,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawrfci,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawrotg,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawrskb,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawrujb,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawseij,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawsekm,0,1,0,0,1,1,0,1,0,1,0
ZTF18aawsmrt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawtklf,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawwjzq,0,1,0,1,0,0,1,1,0,1,0
ZTF18aawxjvh,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawxkcj,0,0,1,1,0,1,0,1,0,1,0
ZTF18aawxpzs,0,1,0,1,0,1,0,0,1,1,0
ZTF18aawxxyy,0,1,0,1,0,1,0,1,0,0,1
ZTF18aawycyr,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawzdzt,1,0,0,0,0,0,0,0,0,0,0
ZTF18aawzens,1,0,0,0,0,0,0,0,0,0,0
ZTF18aaxerrt,0,1,0,1,0,1,0,0,1,1,0
ZTF18aaxkdwo,0,1,0,1,0,1,0,1,0,0,1
ZTF18aayiast,0,1,0,0,1,1,0,1,0,1,0
ZTF18aayilun,0,1,0,1,0,0,1,1,0,1,0
ZTF18aayyngj,0,1,0,0,1,1,0,1,0,1,0
ZTF18aazwplo,0,1,0,1,0,1,0,1,0,0,1
ZTF18abaulsu,0,1,0,1,0,1,0,1,0,0,1
ZTF18abawkok,1,0,0,0,0,0,0,0,0,0,0
ZTF18abbrksm,0,1,0,1,0,1,0,0,1,1,0
ZTF18abbxvqm,0,1,0,1,0,0,1,1,0,1,0
ZTF18abcgict,0,1,0,1,0,0,1,1,0,1,0
ZTF18abdnqzy,1,0,0,0,0,0,0,0,0,0,0
ZTF18abesxbk,0,0,1,1,0,1,0,1,0,1,0
ZTF18abesxbv,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfapgm,0,1,0,0,1,1,0,1,0,1,0
ZTF18abfapzy,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfaqpu,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfaulo,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfawvl,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfbbyh,0,1,0,1,0,1,0,1,0,0,1
ZTF18abfblpv,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfbltl,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfbtgk,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfbuog,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfbwke,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfcepu,0,1,0,1,0,1,0,0,1,1,0
ZTF18abfchzq,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfdclf,0,1,0,0,1,1,0,1,0,1,0
ZTF18abfdgtz,0,1,0,1,0,1,0,1,0,0,1
ZTF18abfdguq,1,0,0,0,0,0,0,0,0,0,0
ZTF18abfdkes,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfdrin,0,0,1,1,0,1,0,1,0,1,0
ZTF18abfduqh,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfdvkj,0,1,0,1,0,0,1,1,0,1,0
ZTF18abfdysn,1,0,0,0,0,0,0,0,0,0,0
ZTF18abffetb,0,1,0,0,1,1,0,1,0,1,0
ZTF18abgxkzx,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhbcea,0,1,0,1,0,0,1,1,0,1,0
ZTF18abhbcrz,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhbgtf,0,1,0,1,0,1,0,0,1,1,0
ZTF18abhbjet,0,0,1,1,0,1,0,1,0,1,0
ZTF18abhbjfd,0,0,1,1,0,1,0,1,0,1,0
ZTF18abhbjfi,0,1,0,1,0,1,0,0,1,1,0
ZTF18abhbjfw,0,1,0,1,0,0,1,1,0,1,0
ZTF18abhgths,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhgvcy,0,0,1,1,0,1,0,1,0,1,0
ZTF18abhgvss,1,0,0,0,0,0,0,0,0,0,0
ZTF18abhgxja,0,0,1,1,0,1,0,1,0,1,0
ZTF18abhhfvv,0,1,0,1,0,1,0,0,1,1,0
ZTF18abhwmpa,0,1,0,1,0,1,0,1,0,0,1
ZTF18abihhyj,0,0,1,1,0,1,0,1,0,1,0
ZTF18abjilot,0,1,0,1,0,1,0,0,1,1,0
ZTF18abjinfz,0,1,0,0,1,1,0,1,0,1,0
ZTF18abjjgwy,0,1,0,0,1,1,0,1,0,1,0
ZTF18abjjops,0,1,0,1,0,1,0,1,0,0,1
ZTF18abjjpnj,0,1,0,1,0,1,0,0,1,1,0
ZTF18abjjpnn,0,1,0,1,0,1,0,0,1,1,0
ZTF18abjjppb,0,1,0,0,1,1,0,1,0,1,0
ZTF18abjjpqi,0,0,1,1,0,1,0,1,0,1,0
ZTF18abjkakt,0,1,0,1,0,0,1,1,0,1,0
ZTF18abjzpxo,0,1,0,1,0,0,1,1,0,1,0
ZTF18abkmyiw,0,0,1,1,0,1,0,1,0,1,0
ZTF18ablwpkm,0,1,0,1,0,1,0,1,0,0,1
ZTF18abobqat,0,0,1,1,0,1,0,1,0,1,0
ZTF18abqbxrn,0,1,0,1,0,1,0,0,1,1,0
ZTF18abqjmgb,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqjyxy,0,1,0,1,0,1,0,0,1,1,0
ZTF18abqkbkc,0,1,0,1,0,1,0,1,0,0,1
ZTF18abqkbnb,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqkbof,0,1,0,0,1,1,0,1,0,1,0
ZTF18abqkfsf,1,0,0,0,0,0,0,0,0,0,0
ZTF18abqklam,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqklca,0,1,0,1,0,0,1,1,0,1,0
ZTF18abqlwgk,0,0,1,1,0,1,0,1,0,1,0
